,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
129,129,0.0,0.0,0.0,0.0,0.03,0.43,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.46,0.0,0.29,0.0,0
130,130,0.0,0.0,0.0,0.0,0.08,0.49,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.34,0.0,0.2,0.0,0
131,131,0.0,0.0,0.0,0.0,0.11,0.52,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.22,0.02,0.19,0.0,0
132,132,0.0,0.0,0.0,0.0,0.13,0.55,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.14,0.02,0.21,0.0,0
133,133,0.0,0.0,0.0,0.03,0.09,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.28,0.0,0
134,134,0.0,0.0,0.0,0.03,0.07,0.37,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.04,0.28,0.0,0
135,135,0.0,0.0,0.0,0.03,0.09,0.37,0.0,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.11,0.19,0.0,0
136,136,0.0,0.0,0.0,0.09,0.13,0.14,0.0,0.02,0.0,0.0,0.03,0.09,0.0,0.0,0.2,0.1,0.0,0
137,137,0.0,0.0,0.0,0.16,0.17,0.16,0.0,0.05,0.0,0.0,0.03,0.08,0.0,0.0,0.25,0.03,0.0,0
138,138,0.0,0.0,0.0,0.34,0.11,0.18,0.0,0.05,0.0,0.0,0.0,0.22,0.0,0.03,0.18,0.09,0.03,0
139,139,0.12,0.0,0.0,0.36,0.06,0.38,0.0,0.03,0.0,0.0,0.0,0.33,0.08,0.18,0.09,0.18,0.03,0
140,140,0.23,0.0,0.0,0.44,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.46,0.13,0.32,0.0,0.27,0.03,0
141,141,0.41,0.0,0.0,0.33,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.45,0.22,0.39,0.0,0.18,0.0,0
142,142,0.49,0.0,0.0,0.34,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.4,0.26,0.35,0.0,0.09,0.0,0
143,143,0.5,0.03,0.0,0.27,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.25,0.31,0.21,0.0,0.05,0.0,0
144,144,0.37,0.03,0.0,0.2,0.12,0.31,0.0,0.0,0.0,0.0,0.03,0.14,0.21,0.1,0.1,0.16,0.32,0
145,145,0.28,0.03,0.0,0.08,0.22,0.48,0.08,0.0,0.03,0.0,0.13,0.11,0.1,0.0,0.29,0.41,1.1,0
146,146,0.16,0.0,0.02,0.0,0.46,0.92,0.19,0.0,0.03,0.0,0.13,0.18,0.0,0.0,0.57,0.74,1.61,0
147,147,0.1,0.0,0.03,0.0,0.59,1.1,0.31,0.0,0.03,0.0,0.12,0.21,0.0,0.0,0.74,1.04,1.75,0
148,148,0.01,0.0,0.03,0.0,0.61,1.09,0.26,0.0,0.0,0.0,0.01,0.15,0.05,0.0,0.81,1.23,1.25,0
149,149,0.0,0.0,0.01,0.0,0.38,0.74,0.15,0.0,0.0,0.0,0.01,0.08,0.05,0.0,0.79,1.19,0.81,0
150,150,0.02,0.0,0.0,0.0,0.18,0.27,0.09,0.0,0.0,0.0,0.0,0.02,0.09,0.0,0.79,1.16,0.44,0
151,151,0.02,0.0,0.0,0.0,0.13,0.12,0.08,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.8,0.89,0.16,0
152,152,0.02,0.0,0.0,0.0,0.15,0.0,0.08,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.71,0.54,0.11,0
153,153,0.0,0.0,0.0,0.0,0.15,0.01,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.55,0.22,0.01,0
154,154,0.0,0.0,0.0,0.0,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.41,0.11,0.01,0
155,155,0.03,0.0,0.0,0.0,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.32,0.11,0.07,0
156,156,0.03,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.28,0.06,0.07,0
157,157,0.03,0.0,0.0,0.0,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.09,0
158,158,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.21,0.02,0.02,0
159,159,0.0,0.0,0.0,0.0,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.06,0.02,0
160,160,0.0,0.0,0.0,0.0,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.0,0.19,0.07,0.0,0
161,161,0.0,0.0,0.0,0.0,0.02,0.12,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.0,0.17,0.05,0.0,0
162,162,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.2,0.02,0.0,0
163,163,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.27,0.0,0.0,0
164,164,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.32,0.0,0.0,0
165,165,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.05,0.01,0.0,0.28,0.01,0.0,0
166,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.26,0.01,0.0,0
167,167,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.12,0.0,0.01,0.2,0.01,0.0,0
168,168,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.01,0.23,0.0,0.0,0
169,169,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.2,0.0,0.04,0.17,0.0,0.0,0
170,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.26,0.0,0.06,0.13,0.0,0.0,0
171,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.33,0.0,0.08,0.07,0.0,0.0,0
172,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.06,0.18,0.02,0.0,0
173,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.05,0.26,0.08,0.0,0
174,174,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.03,0.32,0.24,0.05,0
175,175,0.61,0.09,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.21,0.01,0.02,0.18,0.22,0.05,0
176,176,1.26,0.46,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.29,0.07,0.0,0.08,0.15,0.05,0
177,177,1.9,0.87,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.38,0.08,0.0,0.0,0.0,0.0,0
178,178,2.18,1.21,0.0,0.02,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.39,0.06,0.0,0.0,0.0,0.02,0
179,179,2.41,1.25,0.0,0.02,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.37,0.05,0.0,0.0,0.03,0.04,0
180,180,2.48,1.24,0.0,0.02,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.26,0.04,0.0,0.0,0.16,0.13,0
181,181,2.61,1.14,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.01,0.13,0.04,0.0,0.05,0.17,0.26,0
182,182,2.67,1.12,0.0,0.0,0.0,0.3,0.0,0.0,0.03,0.0,0.02,0.03,0.0,0.0,0.17,0.18,0.29,0
