,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
125,0.0,0.0,0.63,0.0,0.19,0.91,0.0,0.27,0.0,0.0,0.15,0.61,0.03,0.0,0.0,0.31,0.09,fake
126,0.0,0.0,0.59,0.0,0.16,0.92,0.0,0.17,0.0,0.0,0.08,0.69,0.02,0.0,0.0,0.36,0.19,fake
127,0.0,0.0,0.56,0.0,0.09,0.98,0.0,0.29,0.0,0.0,0.01,0.54,0.0,0.0,0.3,0.51,0.22,fake
128,0.0,0.0,0.53,0.0,0.06,0.97,0.0,0.45,0.0,0.0,0.02,0.27,0.0,0.0,0.59,0.62,0.18,fake
129,0.0,0.0,0.5,0.0,0.03,1.02,0.0,0.59,0.0,0.0,0.05,0.02,0.0,0.0,0.9,0.73,0.1,fake
130,0.14,0.29,0.5,0.18,0.15,1.17,0.0,0.43,0.15,0.0,0.05,0.59,0.0,1.02,0.69,0.5,0.07,fake
131,0.17,0.34,0.53,0.18,0.14,1.18,0.0,0.25,0.15,0.0,0.02,0.98,0.0,1.78,0.4,0.3,0.03,fake
132,0.21,0.34,0.51,0.24,0.12,1.07,0.0,0.06,0.15,0.0,0.0,1.29,0.0,2.27,0.09,0.06,0.0,fake
133,0.07,0.05,0.45,0.11,0.0,0.81,0.0,0.07,0.0,0.0,0.0,0.94,0.0,1.3,0.07,0.17,0.0,fake
134,0.05,0.0,0.48,0.17,0.0,0.83,0.0,0.19,0.0,0.0,0.0,0.82,0.0,0.54,0.12,0.23,0.0,fake
135,0.01,0.0,0.5,0.23,0.0,0.83,0.0,0.26,0.0,0.0,0.0,0.74,0.0,0.05,0.25,0.31,0.0,fake
136,0.07,0.0,0.45,0.24,0.0,0.87,0.0,0.36,0.0,0.0,0.0,0.71,0.0,0.0,0.33,0.2,0.0,fake
137,0.16,0.02,0.37,0.23,0.0,0.82,0.0,0.41,0.0,0.0,0.0,0.65,0.0,0.0,0.44,0.11,0.0,fake
138,0.25,0.02,0.32,0.15,0.0,0.86,0.0,0.52,0.0,0.0,0.0,0.59,0.0,0.0,0.49,0.0,0.0,fake
139,0.2,0.02,0.25,0.22,0.0,0.63,0.0,0.58,0.0,0.0,0.0,0.5,0.0,0.0,0.48,0.0,0.0,fake
140,0.18,0.0,0.16,0.23,0.0,0.48,0.0,0.66,0.0,0.0,0.0,0.42,0.0,0.0,0.4,0.0,0.0,fake
141,0.21,0.11,0.23,0.19,0.0,0.39,0.0,0.76,0.0,0.0,0.0,0.64,0.06,0.18,0.23,0.0,0.0,fake
142,0.31,0.11,0.51,0.06,0.01,0.66,0.01,0.88,0.03,0.0,0.0,0.88,0.18,0.3,0.09,0.0,0.0,fake
143,0.33,0.11,0.77,0.0,0.01,0.85,0.03,1.01,0.05,0.0,0.0,1.11,0.2,0.44,0.0,0.0,0.0,fake
144,0.35,0.0,0.83,0.0,0.02,1.02,0.11,0.95,0.05,0.0,0.04,1.07,0.25,0.6,0.0,0.0,0.0,fake
145,0.41,0.05,0.88,0.0,0.01,1.07,0.23,0.9,0.03,0.0,0.05,1.04,0.14,0.8,0.0,0.0,0.0,fake
146,0.44,0.05,0.93,0.0,0.01,1.15,0.33,0.82,0.0,0.0,0.08,1.04,0.16,0.99,0.0,0.0,0.0,fake
147,0.48,0.16,1.16,0.0,0.0,1.19,0.4,0.94,0.0,0.0,0.12,1.05,0.06,1.05,0.0,0.0,0.0,fake
148,0.54,0.23,1.3,0.0,0.01,1.29,0.42,1.0,0.0,0.0,0.17,1.06,0.04,1.11,0.0,0.0,0.0,fake
149,0.63,0.37,1.45,0.0,0.01,1.32,0.46,1.02,0.0,0.0,0.2,1.1,0.0,1.2,0.0,0.0,0.0,fake
150,0.55,0.35,1.4,0.0,0.01,1.28,0.43,0.93,0.0,0.0,0.12,0.91,0.0,1.17,0.0,0.0,0.0,fake
151,0.49,0.36,1.39,0.0,0.0,1.18,0.39,0.82,0.0,0.0,0.06,0.72,0.0,1.11,0.0,0.0,0.0,fake
152,0.31,0.27,1.39,0.0,0.0,1.15,0.39,0.77,0.0,0.0,0.05,0.45,0.0,0.99,0.0,0.01,0.0,fake
153,0.29,0.28,1.43,0.0,0.0,1.3,0.39,0.85,0.0,0.0,0.08,0.44,0.0,0.9,0.01,0.05,0.0,fake
154,0.24,0.14,1.42,0.0,0.0,1.54,0.35,1.15,0.0,0.0,0.16,0.52,0.0,0.56,0.2,0.25,0.0,fake
155,0.36,0.2,1.46,0.0,0.0,1.83,0.21,1.4,0.0,0.16,0.11,0.74,0.0,0.33,0.31,0.42,0.0,fake
156,0.44,0.25,1.55,0.0,0.0,2.04,0.19,1.72,0.0,0.42,0.11,0.9,0.0,0.13,0.37,0.58,0.0,fake
157,0.48,0.37,1.68,0.0,0.0,2.14,0.22,1.79,0.0,0.64,0.04,1.0,0.0,0.21,0.27,0.56,0.0,fake
158,0.44,0.31,1.75,0.0,0.0,2.09,0.28,1.88,0.0,0.65,0.04,1.0,0.0,0.24,0.3,0.6,0.0,fake
159,0.43,0.23,1.75,0.0,0.0,2.0,0.26,1.93,0.0,0.66,0.0,0.99,0.0,0.26,0.28,0.53,0.0,fake
160,0.42,0.17,1.7,0.0,0.0,1.87,0.25,1.97,0.0,0.69,0.0,0.93,0.0,0.31,0.23,0.5,0.0,fake
161,0.33,0.13,1.59,0.0,0.03,1.75,0.3,2.13,0.0,0.92,0.0,0.83,0.2,0.22,0.37,0.46,0.0,fake
162,0.21,0.07,1.52,0.0,0.05,1.58,0.31,2.19,0.0,1.06,0.0,0.78,0.42,0.15,0.55,0.54,0.0,fake
163,0.07,0.0,1.33,0.0,0.05,1.22,0.36,2.17,0.0,1.07,0.04,0.74,0.42,0.05,0.6,0.43,0.0,fake
164,0.09,0.0,1.23,0.0,0.01,0.9,0.4,1.94,0.0,0.97,0.04,0.71,0.22,0.08,0.33,0.25,0.0,fake
165,0.1,0.0,1.14,0.0,0.0,0.66,0.46,1.74,0.0,0.81,0.04,0.68,0.0,0.1,0.1,0.04,0.0,fake
166,0.17,0.0,1.11,0.0,0.0,0.76,0.4,1.6,0.0,0.74,0.0,0.68,0.0,0.19,0.0,0.0,0.0,fake
167,0.2,0.0,1.03,0.0,0.0,0.79,0.3,1.54,0.0,0.73,0.0,0.71,0.0,0.29,0.0,0.0,0.0,fake
168,0.21,0.0,0.94,0.0,0.0,0.91,0.27,1.59,0.0,0.85,0.0,0.68,0.0,0.38,0.0,0.0,0.0,fake
169,0.2,0.0,0.94,0.0,0.0,0.89,0.25,1.66,0.0,1.01,0.0,0.66,0.0,0.42,0.0,0.0,0.0,fake
170,0.14,0.02,0.95,0.08,0.0,1.15,0.32,1.63,0.0,1.01,0.0,0.41,0.0,0.29,0.44,0.19,0.0,fake
171,0.09,0.02,0.96,0.12,0.0,1.33,0.35,1.57,0.0,0.89,0.0,0.23,0.12,0.15,0.83,0.28,0.0,fake
172,0.07,0.02,0.91,0.12,0.0,1.38,0.37,1.56,0.0,0.85,0.0,0.01,0.22,0.0,0.99,0.28,0.0,fake
173,0.07,0.0,0.86,0.05,0.0,1.22,0.31,1.63,0.0,0.92,0.0,0.01,0.33,0.0,0.71,0.1,0.0,fake
174,0.1,0.0,0.83,0.03,0.0,1.12,0.25,1.64,0.0,1.01,0.0,0.0,0.36,0.0,0.5,0.0,0.0,fake
175,0.1,0.0,0.86,0.02,0.0,1.19,0.24,1.65,0.0,1.02,0.0,0.0,0.37,0.0,0.5,0.0,0.0,fake
176,0.13,0.0,0.86,0.01,0.0,1.37,0.21,1.75,0.0,1.07,0.0,0.03,0.3,0.0,0.47,0.03,0.0,fake
177,0.16,0.0,0.85,0.0,0.0,1.51,0.2,1.84,0.0,1.13,0.0,0.06,0.16,0.0,0.37,0.04,0.0,fake
178,0.15,0.0,0.83,0.0,0.0,1.58,0.16,1.93,0.0,1.12,0.0,0.08,0.05,0.0,0.28,0.11,0.0,fake
179,0.14,0.03,0.85,0.0,0.0,1.48,0.1,1.86,0.0,1.02,0.0,0.04,0.03,0.0,0.26,0.12,0.0,fake
180,0.1,0.04,0.85,0.0,0.0,1.35,0.03,1.78,0.0,0.97,0.0,0.02,0.06,0.0,0.3,0.15,0.0,fake
181,0.09,0.06,0.83,0.0,0.0,1.3,0.02,1.61,0.0,0.93,0.0,0.0,0.06,0.0,0.36,0.08,0.0,fake
182,0.1,0.03,0.8,0.0,0.0,1.36,0.04,1.48,0.0,0.99,0.0,0.0,0.09,0.0,0.37,0.04,0.0,fake
183,0.14,0.08,0.79,0.0,0.0,1.44,0.08,1.37,0.02,1.02,0.0,0.0,0.04,0.0,0.36,0.0,0.0,fake
184,0.15,0.06,0.76,0.0,0.0,1.46,0.08,1.35,0.03,1.09,0.0,0.0,0.04,0.0,0.25,0.0,0.0,fake
185,0.16,0.08,0.77,0.0,0.0,1.43,0.09,1.35,0.03,1.09,0.0,0.0,0.0,0.0,0.16,0.0,0.0,fake
