,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
95,0.02,0.0,0.12,0.12,0.0,0.0,0.1,0.38,0.05,0.41,0.15,0.61,0.0,0.52,1.44,1.01,0.68,real
96,0.02,0.0,0.16,0.1,0.0,0.0,0.17,0.33,0.02,0.41,0.16,0.62,0.0,0.55,1.36,1.26,0.6,real
97,0.02,0.0,0.27,0.0,0.0,0.0,0.26,0.25,0.0,0.4,0.24,0.41,0.0,0.65,1.38,1.25,0.44,real
98,0.02,0.0,0.3,0.0,0.0,0.0,0.21,0.23,0.0,0.3,0.25,0.45,0.0,0.74,1.26,1.03,0.45,real
99,0.02,0.0,0.31,0.0,0.0,0.0,0.14,0.31,0.0,0.2,0.18,0.36,0.0,0.7,1.18,1.05,0.69,real
100,0.02,0.0,0.23,0.0,0.0,0.0,0.17,0.41,0.0,0.15,0.14,0.46,0.0,0.69,1.04,1.06,0.79,real
101,0.06,0.0,0.07,0.0,0.0,0.0,0.15,0.4,0.0,0.17,0.05,0.33,0.0,0.56,1.13,1.18,0.72,real
102,0.08,0.0,0.02,0.0,0.0,0.0,0.2,0.4,0.0,0.17,0.04,0.29,0.0,0.4,1.42,1.35,0.64,real
103,0.13,0.0,0.07,0.0,0.0,0.0,0.17,0.31,0.0,0.13,0.0,0.26,0.0,0.33,1.68,1.63,0.55,real
104,0.08,0.0,0.13,0.0,0.0,0.0,0.25,0.26,0.0,0.05,0.0,0.28,0.01,0.34,1.77,1.7,0.56,real
105,0.05,0.0,0.13,0.0,0.0,0.0,0.25,0.26,0.0,0.0,0.0,0.31,0.01,0.4,1.94,1.76,0.58,real
106,0.0,0.0,0.07,0.0,0.0,0.0,0.16,0.38,0.05,0.0,0.0,0.24,0.01,0.43,1.99,1.48,0.51,real
107,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.29,0.05,0.0,0.0,0.13,0.0,0.51,1.89,1.17,0.6,real
